glnV	pheV	apaG	lysW	lysV	glnX
0	1	0	0	1	0
1	0	1	0	0	0
0	0	0	0	0	1
0	0	0	1	0	1
0	1	1	1	0	0
1	0	1	1	1	1
0	0	1	1	1	1
0	1	0	0	1	0
1	0	0	0	1	0
0	0	1	1	0	1
1	1	1	1	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	0	0	1
0	1	0	1	1	1
0	1	0	1	1	1
0	0	0	1	0	1
0	0	0	1	0	1
0	0	0	1	0	1
0	0	0	1	1	1
1	1	1	0	1	1
1	0	1	1	1	1
0	1	0	1	1	1
1	1	0	1	1	0
1	1	0	1	1	0
1	1	1	1	1	0
1	1	0	1	1	0
0	1	1	0	1	1
1	1	1	1	1	0
1	1	1	1	1	0
1	1	1	0	1	1
0	0	1	0	1	1
0	0	0	1	0	1
0	0	0	0	1	0
1	0	1	1	1	1
0	0	1	1	0	1
0	0	1	1	1	1
0	0	0	1	1	1
1	0	1	1	1	1
1	1	1	0	1	1
0	0	1	0	0	0
0	0	1	1	1	1
0	0	1	1	1	1
1	1	0	0	1	0
1	0	0	1	1	0
0	0	1	1	1	1
1	0	0	1	0	1
0	1	0	1	0	0
0	1	0	1	0	0
1	0	1	1	0	1
0	0	0	1	1	1
0	0	0	0	0	1
0	0	0	1	0	1
1	1	1	1	0	0
0	1	0	1	0	0
1	0	0	0	0	0
0	1	0	0	1	0
0	1	1	1	0	0
0	0	1	0	1	1
1	1	0	0	0	1
1	1	1	0	0	0
0	1	1	0	0	1
1	1	0	0	1	0
1	1	0	0	1	0
1	1	0	1	0	0
1	1	0	1	0	0
0	1	0	1	0	0
1	0	1	1	0	1
0	0	0	0	1	0
0	1	0	1	1	1
1	1	0	0	0	1
1	1	0	0	1	0
1	0	0	0	0	0
1	0	0	1	1	0
1	1	1	1	0	0
1	1	0	1	0	0
1	1	0	0	1	0
0	1	1	0	0	1
1	0	1	1	0	1
1	1	1	1	0	0
0	0	1	1	1	1
0	0	0	0	0	1
0	0	1	1	1	1
0	0	0	1	1	1
0	0	1	0	0	0
1	1	1	1	0	0
0	0	1	0	1	1
0	0	1	0	0	0
0	0	1	0	1	1
0	1	1	1	0	0
0	0	1	0	1	1
1	1	1	1	1	0
1	1	0	1	1	0
0	0	0	0	1	0
0	0	0	0	0	1
1	0	0	1	0	1
1	1	0	1	1	0
0	1	0	1	1	1
0	1	0	1	1	1
1	0	0	0	0	0
0	0	1	1	1	1
0	0	1	1	0	1
1	0	0	0	0	0
1	0	1	1	0	1
0	0	0	0	0	1
0	0	0	0	0	1
1	0	1	1	0	1
0	1	1	0	0	1
0	1	1	1	0	0
1	1	1	0	0	0
0	1	0	1	0	0
1	1	1	0	1	1
1	0	1	1	0	1
0	1	1	1	1	0
1	0	1	0	1	0
1	0	1	0	1	0
1	0	1	1	0	1
1	0	0	0	0	0
0	0	0	1	1	1
0	0	0	0	0	1
0	1	1	0	1	1
0	1	0	1	0	0
0	1	0	1	0	0
0	1	0	1	1	1
0	0	1	0	1	1
0	0	0	0	1	0
1	0	1	0	1	0
1	0	0	0	1	0
1	0	1	1	0	1
0	0	0	0	0	1
0	0	0	0	1	0
1	0	0	0	1	0
1	0	0	0	0	0
0	1	0	1	0	0
1	1	0	1	0	0
1	1	1	1	1	0
1	1	1	1	1	0
0	1	1	1	1	0
0	1	1	0	0	1
1	1	1	1	0	0
0	0	1	0	1	1
0	0	1	0	0	0
0	1	0	1	0	0
1	0	1	0	0	0
0	1	1	0	0	1
0	1	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	1	0	1	1
0	1	1	1	0	0
0	0	0	1	0	1
1	1	0	0	1	0
0	0	1	0	1	1
0	0	1	0	1	1
0	1	0	1	1	1
1	1	0	0	1	0
1	0	1	1	0	1
0	0	1	0	1	1
0	1	0	0	0	0
1	1	1	0	0	0
0	0	0	0	0	1
1	0	1	0	1	0
1	1	1	1	1	0
1	1	1	1	0	0
1	0	1	1	0	1
0	1	1	1	0	0
1	1	0	1	1	0
1	0	1	1	1	1
1	1	1	1	0	0
0	1	1	1	0	0
1	0	1	1	0	1
1	0	1	0	0	0
1	0	0	0	0	0
1	0	0	1	0	1
0	0	0	1	0	1
1	1	1	0	0	0
0	1	1	1	0	0
1	0	0	0	1	0
0	1	0	1	0	0
0	0	0	0	0	1
0	1	1	1	0	0
1	0	0	0	0	0
1	1	0	1	0	0
1	0	0	1	0	1
1	1	1	0	1	1
0	1	1	1	1	0
0	0	1	1	1	1
0	1	1	1	0	0
1	1	1	1	1	0
0	1	1	1	1	0
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	1	0
1	1	0	1	0	0
1	0	0	0	1	0
1	0	0	0	1	0
0	0	0	1	0	1
1	1	0	0	0	1
0	0	1	0	0	0
0	1	1	0	0	1
