fis	tyrU	pheU	cspI	serX	glyU
0	1	0	0	0	0
0	0	1	0	0	1
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	1
0	0	0	1	1	1
0	1	0	0	0	0
0	1	1	0	1	1
0	1	1	0	1	1
0	1	0	0	0	0
0	0	1	0	1	0
1	0	0	0	0	0
0	0	1	0	1	0
0	0	0	1	0	0
0	1	0	1	0	0
1	1	0	0	0	1
0	0	0	0	0	1
1	0	1	0	0	1
0	1	0	0	0	0
0	1	0	1	1	0
0	0	0	0	1	1
1	0	0	0	0	0
1	0	0	0	0	0
1	1	0	0	1	1
1	0	0	0	1	0
0	0	0	0	1	1
0	1	0	0	1	1
1	0	1	1	1	0
1	0	1	0	0	1
0	1	0	1	0	0
1	1	0	0	1	1
0	0	0	1	1	1
0	0	1	0	1	0
0	1	0	0	1	1
1	0	1	0	1	1
0	1	0	1	0	0
0	1	0	1	0	0
0	0	0	0	1	1
1	1	1	1	1	1
0	0	0	0	0	1
1	0	1	1	0	1
0	1	1	1	1	1
1	1	0	0	1	1
1	1	1	0	0	0
1	1	0	1	1	0
1	1	0	0	0	1
0	0	0	0	0	1
0	0	0	0	0	1
1	0	0	0	1	0
1	0	0	0	1	0
1	1	1	1	1	1
1	0	1	0	0	1
0	1	1	1	0	0
1	0	0	0	1	0
0	0	0	0	0	1
1	0	1	0	0	1
1	0	1	0	0	1
0	1	1	0	0	1
0	1	0	0	1	1
0	0	1	1	1	0
0	0	1	0	1	0
0	1	1	0	0	1
0	0	0	0	0	1
0	1	1	1	1	1
0	0	1	0	1	0
0	1	1	0	0	1
0	1	0	0	1	1
1	1	0	1	1	0
1	0	1	0	1	1
0	1	1	1	1	1
0	1	1	1	1	1
0	0	0	0	0	1
0	0	1	0	0	1
1	1	0	0	1	1
0	0	0	0	0	1
0	0	1	0	0	1
0	0	0	0	0	1
0	0	0	0	0	1
0	0	0	0	0	1
0	0	0	0	1	1
0	0	1	1	0	0
1	1	1	0	0	0
0	0	0	0	0	1
1	0	0	0	1	0
1	1	1	0	0	0
1	0	1	1	1	0
0	1	0	0	1	1
1	1	0	0	0	1
1	0	1	1	0	1
0	1	0	0	1	1
1	1	0	0	0	1
0	0	0	0	0	1
0	0	0	1	0	0
1	1	0	0	1	1
1	0	1	0	1	1
0	1	0	0	0	0
1	1	0	0	1	1
0	0	0	0	1	1
1	0	0	1	0	0
0	0	1	1	0	0
1	1	0	1	0	1
0	0	1	0	1	0
0	1	0	1	0	0
1	1	0	1	0	1
1	0	0	0	0	0
1	1	0	0	0	1
0	1	1	0	0	1
1	1	0	0	1	1
0	0	0	1	0	0
0	1	0	0	0	0
1	1	0	0	0	1
1	1	0	0	0	1
0	0	0	1	0	0
0	0	1	1	1	0
1	0	1	0	1	1
0	1	1	1	1	1
1	1	0	0	0	1
0	1	1	0	0	1
1	0	0	1	0	0
1	0	0	0	1	0
1	1	1	0	1	0
0	0	0	0	1	1
0	0	1	0	1	0
0	0	0	0	1	1
0	1	0	0	1	1
0	0	0	0	1	1
0	0	0	0	1	1
0	1	1	0	1	1
0	0	0	0	1	1
0	0	1	0	1	0
1	1	1	1	0	0
1	1	1	1	1	1
1	1	0	1	1	0
1	1	1	0	0	0
1	0	0	0	1	0
1	1	1	0	1	0
1	0	0	1	1	0
1	0	1	0	1	1
1	0	1	1	1	0
0	1	0	1	0	0
1	0	0	1	1	0
1	1	1	0	0	0
1	0	1	0	0	1
1	1	1	0	0	0
1	0	1	0	0	1
1	0	0	0	0	0
1	1	1	0	0	0
0	1	1	0	0	1
1	0	0	0	0	0
1	0	1	0	0	1
1	0	0	0	0	0
1	0	0	1	0	0
1	0	1	1	0	1
0	0	1	0	1	0
0	0	0	0	0	1
1	1	0	1	0	1
1	1	1	1	0	0
1	1	0	0	0	1
1	0	1	0	0	1
0	0	1	0	1	0
1	1	1	1	1	1
1	0	1	1	0	1
1	0	1	0	0	1
0	0	0	0	1	1
1	1	0	0	0	1
0	0	1	0	1	0
0	0	1	0	1	0
0	0	1	0	0	1
0	1	0	1	1	0
0	0	1	0	1	0
0	0	0	0	1	1
1	0	1	0	0	1
0	0	0	1	1	1
1	0	0	1	1	0
1	0	1	0	1	1
1	1	1	0	0	0
1	1	0	0	1	1
0	0	0	0	1	1
0	0	0	1	1	1
0	1	0	1	1	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
1	1	0	0	1	1
0	0	0	0	0	1
0	0	1	0	1	0
1	1	0	0	1	1
1	1	0	0	0	1
0	0	1	0	0	1
0	1	0	0	1	1
0	1	0	1	1	0
1	1	0	1	1	0
0	1	1	1	1	1
1	1	1	1	1	1
0	0	0	1	1	1
1	1	1	1	1	1
1	0	0	1	1	0
0	1	1	1	0	0
0	1	0	1	1	0
